#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Name","DisplayName","DisplayValue"
"Ethernet 2","Flow Control","Rx & Tx Enabled"
"Ethernet 2","Idle power down restriction","Disabled"
"Ethernet 2","Interrupt Moderation","Enabled"
"Ethernet 2","IPv4 Checksum Offload","Rx & Tx Enabled"
"Ethernet 2","Jumbo Packet","1514"
"Ethernet 2","Large Send Offload V2 (IPv4)","Disabled"
"Ethernet 2","Large Send Offload V2 (IPv6)","Disabled"
"Ethernet 2","ARP Offload","Disabled"
"Ethernet 2","NS Offload","Disabled"
"Ethernet 2","Packet Priority & VLAN","Packet Priority & VLAN Enabled"
"Ethernet 2","Speed & Duplex","Auto Negotiation"
"Ethernet 2","TCP Checksum Offload (IPv4)","Rx & Tx Enabled"
"Ethernet 2","TCP Checksum Offload (IPv6)","Rx & Tx Enabled"
"Ethernet 2","UDP Checksum Offload (IPv4)","Rx & Tx Enabled"
"Ethernet 2","UDP Checksum Offload (IPv6)","Rx & Tx Enabled"
"Ethernet 2","Wake on Magic Packet","Disabled"
"Ethernet 2","Wake on Pattern Match","Disabled"
"Ethernet 2","Interrupt Moderation Rate","Low"
"Ethernet 2","Locally Administered Address",
"Ethernet 2","Wake On Magic Packet From S5","Enabled"
